109,":{name:""",Overhead,""",value:""",,""",description:""",Shot via overhead kick – NO LONGER USED,"""},"
110,":{name:""",Half Volley,""",value:""",,""",description:""",Shot on the half volley (hit immediately after the ball bounces) – NO LONGER USED,"""},"
111,":{name:""",Diving Header,""",value:""",,""",description:""",Shot where the player dives to head the ball – NO LONGER USED,"""},"
113,":{name:""",Strong,""",value:""",,""",description:""",Shot was subjectively classed as strong,"""},"
114,":{name:""",Weak,""",value:""",,""",description:""",Shot was subjectively classed as weak,"""},"
115,":{name:""",Rising,""",value:""",,""",description:""",Shot was rising in the air,"""},"
116,":{name:""",Dipping,""",value:""",,""",description:""",Shot was dipping towards the ground,"""},"
117,":{name:""",Lob,""",value:""",,""",description:""",Shot was an attempt by the attacker to play the ball over the goalkeeper and into the goal,"""},"
118,":{name:""",One Bounce,""",value:""",,""",description:""",Shot where the ball bounced once on its way towards the goal – NO LONGER USED,"""},"
119,":{name:""",Few Bounces,""",value:""",,""",description:""",Shot where the ball bounced several times on its way to the goal – NO LONGER USED,"""},"
120,":{name:""",Swerve Left,""",value:""",,""",description:""",Shot which swerves to the left - from attackers perspective,"""},"
121,":{name:""",Swerve Right,""",value:""",,""",description:""",Shot which swerves to the right - from attackers perspective,"""},"
122,":{name:""",Swerve Moving,""",value:""",,""",description:""",Shot which swerves in several directions,"""},"
133,":{name:""",Deflection,""",value:""",,""",description:""",Shot deflected off another player,"""},"
136,":{name:""",Keeper Touched,""",value:""",,""",description:""",Goal where the goalkeeper got a touch on the ball as it went in,"""},"
137,":{name:""",Keeper Saved,""",value:""",,""",description:""",Shot going wide or over the goal but still collected/saved by the goalkeeper with event type 15,"""},"
138,":{name:""",Hit Woodwork,""",value:""",,""",description:""",Any shot which hits the post or crossbar,"""},"
153,":{name:""",Not past goal line,""",value:""",,""",description:""",Shot missed which does not pass the goal line,"""},"
214,":{name:""",Big Chance,""",value:""",,""",description:""",Shot was deemed by Opta analysts an excellent opportunity to score – clear cut chance eg one on one,"""},"
215,":{name:""",Individual Play,""",value:""",,""",description:""","Player created the chance to shoot by himself, not assisted. For example he dribbled to create space for himself and shot.","""},"
217,":{name:""",2nd assisted,""",value:""",,""",description:""",Indicates that this shot had a significant pass to create the opportunity for the pass which led to a goal,"""},"
228,":{name:""",Own shot blocked,""",value:""",,""",description:""",Player blocks an attacking shot unintentionally from their teammate,"""},"
16,":{name:""",Small box-centre,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
17,":{name:""",Box-centre,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
18,":{name:""",Out of box-centre,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
19,":{name:""",35+ centre,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
60,":{name:""",Small box-right,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
61,":{name:""",Small box-left,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
62,":{name:""",Box-deep right,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
63,":{name:""",Box-right,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
64,":{name:""",Box-left,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
65,":{name:""",Box-deep left,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
66,":{name:""",Out of box-deep right,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
67,":{name:""",Out of box-right,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
68,":{name:""",Out of box-left,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
69,":{name:""",Out of box-deep left,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
70,":{name:""",35+ right,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
71,":{name:""",35+ left,""",value:""",,""",description:""",Zone of the pitch - See appendix 13,"""},"
73,":{name:""",Left,""",value:""",,""",description:""",Hit the left post or missed left,"""},"
74,":{name:""",High,""",value:""",,""",description:""",Hit crossbar or missed over,"""},"
75,":{name:""",Right,""",value:""",,""",description:""",Hit right post or missed right,"""},"
76,":{name:""",Low left,""",value:""",,""",description:""",Zone of the goalmouth - See appendix 12,"""},"
77,":{name:""",High left,""",value:""",,""",description:""",Zone of the goalmouth - See appendix 12,"""},"
78,":{name:""",Low centre,""",value:""",,""",description:""",Zone of the goalmouth - See appendix 12,"""},"
79,":{name:""",High centre,""",value:""",,""",description:""",Zone of the goalmouth - See appendix 12,"""},"
80,":{name:""",Low right,""",value:""",,""",description:""",Zone of the goalmouth - See appendix 12,"""},"
81,":{name:""",High Right,""",value:""",Zone of the goalmouth - See appendix 12,""",description:""",,"""},"
82,":{name:""",Blocked,""",value:""",Zone of the goalmouth - See appendix 12,""",description:""",,"""},"
83,":{name:""",Close left,""",value:""",,""",description:""",Zone of the goalmouth - See appendix 12,"""},"
84,":{name:""",Close right,""",value:""",,""",description:""",Zone of the goalmouth - See appendix 12,"""},"
85,":{name:""",Close high,""",value:""",,""",description:""",Zone of the goalmouth - See appendix 12,"""},"
86,":{name:""",Close left and high,""",value:""",,""",description:""",Zone of the goalmouth - See appendix 12,"""},"
87,":{name:""",Close right and high,""",value:""",,""",description:""",Zone of the goalmouth - See appendix 12,"""},"
100,":{name:""",Six yard blocked,""",value:""",,""",description:""",Shot blocked on the 6 yard line,"""},"
101,":{name:""",Saved off line,""",value:""",,""",description:""",Shot saved on the goal line,"""},"
102,":{name:""",Goal mouth y co-ordinate,""",value:""",0-100,""",description:""",Y Co-ordinate of where a shot crossed goal line - see Appendix 12,"""},"
103,":{name:""",Goal mouth z co-ordinate,""",value:""",0-100,""",description:""",Z Co-ordinate for height at which a shot crossed the goal line - see Appendix 12,"""},"
134,":{name:""",Far Wide Left,""",value:""",n/a,""",description:""",NO LONGER USED - Shot from wide left,"""},"
135,":{name:""",Far Wide Right,""",value:""",n/a,""",description:""",NO LONGER USED - Shot from wide right,"""},"
146,":{name:""",Blocked x co-ordinate,""",value:""",0-100,""",description:""",The x pitch coordinate for where a shot was blocked,"""},"
147,":{name:""",Blocked y co-ordinate,""",value:""",0-100,""",description:""",The y pitch coordinate for where a shot was blocked,"""},"
10,":{name:""",Hand,""",value:""",,""",description:""",Handball,"""},"
11,":{name:""",6-seconds violation,""",value:""",,""",description:""",Goalkeeper held onto the ball longer than 6 seconds resulting in a free kick,"""},"
12,":{name:""",Dangerous play,""",value:""",,""",description:""",A foul due to dangerous play,"""},"
13,":{name:""",Foul,""",value:""",,""",description:""",All fouls,"""},"
31,":{name:""",Yellow Card,""",value:""",,""",description:""",Player shown a yellow card,"""},"
32,":{name:""",Second yellow,""",value:""",,""",description:""",Player receives a 2nd yellow card which automatically results in a red card,"""},"
33,":{name:""",Red card,""",value:""",,""",description:""",Player shown a straight red card,"""},"
34,":{name:""",Referee abuse,""",value:""",,""",description:""",Card shown to player because of abuse to the referee,"""},"
35,":{name:""",Argument,""",value:""",,""",description:""",Card shown to player because of an argument,"""},"
36,":{name:""",Fight,""",value:""",,""",description:""",Card shown to player because of their involvement in a fight,"""},"
37,":{name:""",Time wasting,""",value:""",,""",description:""",Card shown to player for time wasting,"""},"
38,":{name:""",Excessive celebration,""",value:""",,""",description:""",Card shown to player for excessively celebrating a goal,"""},"
39,":{name:""",Crowd interaction,""",value:""",,""",description:""",Card shown to player because of contact or communication with the crowd,"""},"
40,":{name:""",Other reason,""",value:""",,""",description:""",Card shown for unknown reason,"""},"
95,":{name:""",Back pass,""",value:""",,""",description:""",Free kick given for an illegal pass to the goalkeeper which was collected by his hands or picked up,"""},"
132,":{name:""",Dive,""",value:""",,""",description:""",Free kick or card event; player penalised for simulation,"""},"
158,":{name:""",Persistent infringement,""",value:""",,""",description:""",Card shown to player for persistent fouls,"""},"
159,":{name:""",Foul and abusive language,""",value:""",,""",description:""",Card shown for player using foul language,"""},"
161,":{name:""",Encroachment,""",value:""",,""",description:""",Card shown for player who moves within 10 yards of an opponent’s free kick,"""},"
162,":{name:""",Leaving field,""",value:""",,""",description:""",Card shown for player leaving the field without permission,"""},"
163,":{name:""",Entering field,""",value:""",,""",description:""",Card shown for player entering the field during play without referee's permission,"""},"
164,":{name:""",Spitting,""",value:""",,""",description:""",Card shown for spitting,"""},"
165,":{name:""",Professional foul,""",value:""",,""",description:""",Card shown for a deliberate tactical foul,"""},"
166,":{name:""",Handling on the line,""",value:""",,""",description:""",Card shown to an outfield player for using their hand to keep the ball out of the goal,"""},"
171,":{name:""",Rescinded card,""",value:""",,""",description:""",Referee rescind a card post match,"""},"
172,":{name:""",No impact on timing,""",value:""",,""",description:""",Player booked on bench but who hasn't played any minutes in the match,"""},"
184,":{name:""",Dissent,""",value:""",,""",description:""",Card shown when a player does not obey referee instructions,"""},"
191,":{name:""",Off the ball foul,""",value:""",,""",description:""",Foul committed by and on a player who is not in possession of the ball,"""},"
192,":{name:""",Block by hand,""",value:""",,""",description:""",Outfield player blocks a shot with their hand,"""},"
190,":{name:""",Saved shot off target,""",value:""",,""",description:""",Used with Event 10. Indicates a shot was saved by the goalkeeper but in fact the shot was going wide and not on target,"""},"
88,":{name:""",High claim,""",value:""",,""",description:""",Event 11 Claim - Goalkeeper claims possession of a crossed ball,"""},"
89,":{name:""",1 on 1,""",value:""",,""",description:""","When attacker was clear with no defenders between him and the goalkeeper (can be associated with 10, 11, 12, 13, 14, 15 or 16)","""},"
90,":{name:""",Deflected save,""",value:""",,""",description:""",Event 10 Save; when goalkeeper saves a shot but does not catch the ball,"""},"
91,":{name:""",Dive and deflect,""",value:""",,""",description:""",Event 10 Save; when goalkeeper saves a shot while diving but does not catch the ball,"""},"
92,":{name:""",Catch,""",value:""",,""",description:""",Event 10 Save; when goalkeeper saves a shot and catches it,"""},"
93,":{name:""",Dive and catch,""",value:""",,""",description:""",Event 10 Save; when goalkeeper saves a shot while diving and catches it,"""},"
123,":{name:""",Keeper Throw,""",value:""",,""",description:""",Pass event - goalkeeper throws the ball out,"""},"
124,":{name:""",Goal Kick,""",value:""",,""",description:""",Pass event – goal kick,"""},"
128,":{name:""",Punch,""",value:""",,""",description:""",Clearance by goalkeeper where he punches the ball clear,"""},"
139,":{name:""",Own Player,""",value:""",,""",description:""",Shot saved by goalkeeper that was deflected by a defender,"""},"
173,":{name:""",Parried safe,""",value:""",,""",description:""",Goalkeeper save where shot is parried to safety,"""},"
174,":{name:""",Parried danger,""",value:""",,""",description:""",Goalkeeper save where shot is parried but only to another opponent,"""},"
175,":{name:""",Fingertip,""",value:""",,""",description:""",Goalkeeper save using his fingertips,"""},"
176,":{name:""",Caught,""",value:""",,""",description:""",Goalkeeper catches the ball,"""},"
177,":{name:""",Collected,""",value:""",,""",description:""",Goalkeeper save and collects possession of the ball,"""},"
178,":{name:""",Standing Goalkeeper,""",value:""",,""",description:""",save while standing,"""},"
179,":{name:""",Diving,""",value:""",,""",description:""",Goalkeeper save while diving,"""},"
180,":{name:""",Stooping,""",value:""",,""",description:""",Goalkeeper saves while stooping,"""},"
181,":{name:""",Reaching,""",value:""",,""",description:""",Goalkeeper save where goalkeeper reaches for the ball,"""},"
182,":{name:""",Hands,""",value:""",,""",description:""",Goalkeeper saves with his hands,"""},"
183,":{name:""",Feet,""",value:""",,""",description:""",Goalkeeper save using his feet,"""},"
186,":{name:""",Scored,""",value:""",,""",description:""",Goalkeeper event - shots faced and not saved resulting in goal,"""},"
187,":{name:""",Saved,""",value:""",,""",description:""",Goalkeeper event - shots faced and saved,"""},"
188,":{name:""",Missed,""",value:""",,""",description:""",Goalkeeper event - shot faced which went wide or over. Did not require a save.,"""},"
198,":{name:""",GK hoof,""",value:""",,""",description:""",Goalkeeper drops the ball on the ground and kicks it long towards a position rather than a specific player,"""},"
199,":{name:""",Gk kick from hands,""",value:""",,""",description:""",Goalkeeper kicks the ball forward straight out of his hands,"""},"
14,":{name:""",Last line,""",value:""",,""",description:""",When a player makes a defensive action and they are the last person between the opponent and the goal,"""},"
94,":{name:""",Def block,""",value:""",,""",description:""",Defender blocks an opposition shot. Shown with event 10.,"""},"
167,":{name:""",Out of play,""",value:""",,""",description:""",Tackle or clearance event sent the ball out of play,"""},"
169,":{name:""",Leading to attempt,""",value:""",,""",description:""","A player error, event 51, which leads to an opponent shot on goal","""},"
170,":{name:""",Leading to goal,""",value:""",,""",description:""","A player error, event 51, which lead to an opponent scoring a goal","""},"
185,":{name:""",Blocked cross,""",value:""",,""",description:""",Clearance; cross is blocked,"""},"
30,":{name:""",Involved,""",value:""",Player ID's in line up,""",description:""",This will show all players in the starting line up and available as a substitute,"""},"
41,":{name:""",Injury,""",value:""",Substitution,""",description:""", event 18  because of injury,"""},"
42,":{name:""",Tactical,""",value:""",Substitution,""",description:""", event 18 for tactical reasons,"""},"
44,":{name:""",Player position,""",value:""", Dynamic ,""",description:"""," Goalkeeper, Defender,  Midfielder,  Forward or Substitute. These are the playing positions associated with each player for the specific match they are playing in.","""},"
59,":{name:""",Jersey number,""",value:""",Shirt number of player(s),""",description:""","This will be shown for substitutions, line ups, line up changes","""},"
130,":{name:""",Team formation,""",value:""",Formation ID,""",description:""",See appendix 14,"""},"
131,":{name:""",Team player formation,""",value:""",1 to 11,""",description:""",Player position within a formation - 'See appendix 14,"""},"
145,":{name:""",Formation slot,""",value:""",1 to 11,""",description:""",Formation position of a player coming on - see appendix 14,"""},"
194,":{name:""",Captain,""",value:""",Player ID,""",description:""",ID of the player who is the team captain,"""},"
197,":{name:""",Team kit,""",value:""",Kit ID,""",description:""",Kit of the team,"""},"
50,":{name:""",Official position,""",value:""","1, 2, 3, 4",""",description:""","Referee, Linesman#1, Linesman#2, Fourth official","""},"
51,":{name:""",Official ID,""",value:""",Official ID,""",description:""",Unique ID for the official,"""},"
200,":{name:""",Referee stop,""",value:""",,""",description:""",Referee stops play,"""},"
201,":{name:""",Referee delay,""",value:""",,""",description:""",Delay in play instructed by referee,"""},"
208,":{name:""",Referee Injury,""",value:""",,""",description:""",Referee injured,"""},"
49,":{name:""",Attendance figure,""",value:""",Dynamic,""",description:""",Number of people in the crowd,"""},"
